Year,Code,Area,Renewable,Non Renewable,Renewable
2000,AUT,Austria,87,39,87
2000,BEL,Belgium,2,128,2
2000,BGR,Bulgaria,5,75,5
2000,HRV,Croatia,13,11,13
2000,CYP,Cyprus,,7,
2000,CZE,Czech Republic,5,180,5
2000,DNK,Denmark,15,78,15
2000,EST,Estonia,,17,
2000,FIN,Finland,47,79,47
2000,FRA,France,139,543,139
2000,DEU,Germany,85,1190,85
2000,GRC,Greece,8,133,8
2000,HUN,Hungary,,65,
2000,IRL,Ireland,2,52,2
2000,ITA,Italy,102,463,102
2000,LVA,Latvia,6,2,6
2000,LTU,Lithuania,,13,
2000,MLT,Malta,,4,
2000,NLD,Netherlands,7,193,7
2000,POL,Poland,4,418,4
2000,PRT,Portugal,25,76,25
2000,ROU,Romania,30,87,30
2000,SVK,Slovakia,9,41,9
2000,SVN,Slovenia,8,19,8
2000,ESP,Spain,74,390,74
2000,SWE,Sweden,166,68,166
2000,GBR,United Kingdom,21,764,21
2001,AUT,Austria,84,45,84
2001,BEL,Belgium,2,119,2
2001,BGR,Bulgaria,3,84,3
2001,HRV,Croatia,14,13,14
2001,CYP,Cyprus,,7,
2001,CZE,Czech Republic,5,181,5
2001,DNK,Denmark,16,82,16
2001,EST,Estonia,,17,
2001,FIN,Finland,43,93,43
2001,FRA,France,155,534,155
2001,DEU,Germany,89,1208,89
2001,GRC,Greece,7,136,7
2001,HUN,Hungary,,67,
2001,IRL,Ireland,2,54,2
2001,ITA,Italy,110,465,110
2001,LVA,Latvia,6,3,6
2001,LTU,Lithuania,,17,
2001,LUX,Luxembourg,,1,
2001,MLT,Malta,,4,
2001,NLD,Netherlands,7,202,7
2001,POL,Poland,5,417,5
2001,PRT,Portugal,31,74,31
2001,ROU,Romania,30,91,30
2001,SVK,Slovakia,10,42,10
2001,SVN,Slovenia,8,20,8
2001,ESP,Spain,105,374,105
2001,SWE,Sweden,166,86,166
2001,GBR,United Kingdom,20,787,20
2002,AUT,Austria,84,44,84
2002,BEL,Belgium,2,122,2
2002,BGR,Bulgaria,4,77,4
2002,HRV,Croatia,12,16,12
2002,CYP,Cyprus,,8,
2002,CZE,Czech Republic,6,177,6
2002,DNK,Denmark,18,83,18
2002,EST,Estonia,,17,
2002,FIN,Finland,40,100,40
2002,FRA,France,128,566,128
2002,DEU,Germany,108,1199,108
2002,GRC,Greece,8,135,8
2002,HUN,Hungary,,67,
2002,IRL,Ireland,2,54,2
2002,ITA,Italy,98,492,98
2002,LVA,Latvia,5,3,5
2002,LTU,Lithuania,,19,
2002,LUX,Luxembourg,,5,
2002,MLT,Malta,,4,
2002,NLD,Netherlands,9,206,9
2002,POL,Poland,5,412,5
2002,PRT,Portugal,19,87,19
2002,ROU,Romania,32,91,32
2002,SVK,Slovakia,11,41,11
2002,SVN,Slovenia,7,21,7
2002,ESP,Spain,76,432,76
2002,SWE,Sweden,143,85,143
2002,GBR,United Kingdom,24,783,24
2003,AUT,Austria,70,54,70
2003,BEL,Belgium,2,127,2
2003,BGR,Bulgaria,6,81,6
2003,HRV,Croatia,11,18,11
2003,CYP,Cyprus,,8,
2003,CZE,Czech Republic,3,187,3
2003,DNK,Denmark,22,101,22
2003,EST,Estonia,,20,
2003,FIN,Finland,38,127,38
2003,FRA,France,125,582,125
2003,DEU,Germany,111,1256,111
2003,GRC,Greece,13,139,13
2003,HUN,Hungary,,65,
2003,IRL,Ireland,2,54,2
2003,ITA,Italy,95,516,95
2003,LVA,Latvia,5,3,5
2003,LTU,Lithuania,,21,
2003,LUX,Luxembourg,,5,
2003,MLT,Malta,,4,
