Year,Area,Variable,Generation (TWh),Production (TWh),Share of production (%)
2000,Austria,Fossil,16,60,27
2000,Austria,Coal,6,60,10
2000,Austria,Hard Coal,4,60,7
2000,Austria,Lignite,1,60,2
2000,Austria,Gas,8,60,13
2000,Austria,Fossil,3,60,5
2000,Austria,Renewables,43,60,73
2000,Austria,Hydro,42,60,70
2000,Austria,Bioenergy,2,60,3
2000,Belgium,Fossil,34,83,41
2000,Belgium,Coal,13,83,16
2000,Belgium,Hard Coal,13,83,16
2000,Belgium,Gas,16,83,19
2000,Belgium,Fossil,5,83,6
2000,Belgium,Nuclear,48,83,58
2000,Belgium,Renewables,1,83,1
2000,Belgium,Bioenergy,1,83,1
2000,Bulgaria,Fossil,20,41,49
2000,Bulgaria,Coal,17,41,42
2000,Bulgaria,Hard Coal,3,41,7
2000,Bulgaria,Lignite,14,41,34
2000,Bulgaria,Gas,2,41,5
2000,Bulgaria,Fossil,1,41,2
2000,Bulgaria,Nuclear,18,41,45
2000,Bulgaria,Renewables,3,41,6
2000,Bulgaria,Hydro,3,41,6
2000,Croatia,Fossil,5,11,43
2000,Croatia,Coal,2,11,14
2000,Croatia,Hard Coal,2,11,14
2000,Croatia,Gas,2,11,14
2000,Croatia,Fossil,2,11,15
2000,Croatia,Renewables,6,11,57
2000,Croatia,Hydro,6,11,57
2000,Cyprus,Fossil,3,3,100
2000,Cyprus,Fossil,3,3,100
2000,Czech Republic,Fossil,57,73,78
2000,Czech Republic,Coal,53,73,72
2000,Czech Republic,Hard Coal,6,73,8
2000,Czech Republic,Lignite,47,73,65
2000,Czech Republic,Gas,2,73,2
2000,Czech Republic,Fossil,3,73,4
2000,Czech Republic,Nuclear,14,73,19
2000,Czech Republic,Renewables,2,73,3
2000,Czech Republic,Hydro,2,73,2
2000,Czech Republic,Bioenergy,1,73,1
2000,Denmark,Fossil,30,36,85
2000,Denmark,Coal,17,36,46
2000,Denmark,Hard Coal,17,36,46
2000,Denmark,Gas,9,36,24
2000,Denmark,Fossil,5,36,14
2000,Denmark,Renewables,6,36,15
2000,Denmark,Wind and solar,4,36,12
2000,Denmark,Wind,4,36,12
2000,Denmark,Bioenergy,1,36,4
2000,Estonia,Fossil,8,9,100
2000,Estonia,Gas,1,9,7
2000,Estonia,Fossil,8,9,93
2000,Finland,Fossil,24,70,34
2000,Finland,Coal,8,70,12
2000,Finland,Hard Coal,8,70,12
2000,Finland,Gas,10,70,15
2000,Finland,Fossil,5,70,8
2000,Finland,Nuclear,22,70,32
2000,Finland,Renewables,23,70,34
2000,Finland,Hydro,15,70,21
2000,Finland,Bioenergy,9,70,12
2000,France,Fossil,51,535,9
2000,France,Coal,27,535,5
2000,France,Hard Coal,27,535,5
2000,France,Gas,12,535,2
2000,France,Fossil,12,535,2
2000,France,Nuclear,415,535,78
2000,France,Renewables,69,535,13
2000,France,Hydro,66,535,12
2000,France,Bioenergy,2,535,0
2000,France,Renewables,1,535,0
2000,Germany,Fossil,365,572,64
2000,Germany,Coal,291,572,51
2000,Germany,Hard Coal,143,572,25
2000,Germany,Lignite,148,572,26
2000,Germany,Gas,49,572,9
2000,Germany,Fossil,24,572,4
2000,Germany,Nuclear,170,572,30
2000,Germany,Renewables,38,572,7
2000,Germany,Hydro,25,572,4
2000,Germany,Wind and solar,10,572,2
2000,Germany,Wind,10,572,2
2000,Germany,Bioenergy,3,572,1
2000,Greece,Fossil,49,53,92
2000,Greece,Coal,34,53,64
2000,Greece,Lignite,34,53,64
2000,Greece,Gas,6,53,11
2000,Greece,Fossil,9,53,17
2000,Greece,Renewables,4,53,8
2000,Greece,Hydro,4,53,7
2000,Hungary,Fossil,21,35,59
2000,Hungary,Coal,10,35,27
2000,Hungary,Lignite,10,35,27
2000,Hungary,Gas,7,35,19
2000,Hungary,Fossil,5,35,13
2000,Hungary,Nuclear,14,35,40
2000,Ireland,Fossil,22,24,95
2000,Ireland,Coal,7,24,29
2000,Ireland,Hard Coal,7,24,29
2000,Ireland,Gas,9,24,39
2000,Ireland,Fossil,6,24,27
2000,Ireland,Renewables,1,24,5
2000,Ireland,Hydro,1,24,4
2000,Italy,Fossil,218,269,81
2000,Italy,Coal,26,269,10
2000,Italy,Hard Coal,26,269,10
2000,Italy,Gas,101,269,38
2000,Italy,Fossil,91,269,34
2000,Italy,Renewables,51,269,19
2000,Italy,Hydro,44,269,16
2000,Italy,Wind and solar,1,269,0
