Year,Area,Non Renewable,Renewable
2000,Austria,39,87
2000,Belgium,128,2
2000,Bulgaria,75,5
2000,Croatia,11,13
2000,Cyprus,7,
2000,Czech Republic,180,5
2000,Denmark,78,15
2000,Estonia,17,
2000,Finland,79,47
2000,France,543,139
2000,Germany,1190,85
2000,Greece,133,8
2000,Hungary,65,
2000,Ireland,52,2
2000,Italy,463,102
2000,Latvia,2,6
2000,Lithuania,13,
2000,Malta,4,
2000,Netherlands,193,7
2000,Poland,418,4
2000,Portugal,76,25
2000,Romania,87,30
2000,Slovakia,41,9
2000,Slovenia,19,8
2000,Spain,390,74
2000,Sweden,68,166
2000,United Kingdom,764,21
2001,Austria,45,84
2001,Belgium,119,2
2001,Bulgaria,84,3
2001,Croatia,13,14
2001,Cyprus,7,
2001,Czech Republic,181,5
2001,Denmark,82,16
2001,Estonia,17,
2001,Finland,93,43
2001,France,534,155
2001,Germany,1208,89
2001,Greece,136,7
2001,Hungary,67,
2001,Ireland,54,2
2001,Italy,465,110
2001,Latvia,3,6
2001,Lithuania,17,
2001,Luxembourg,1,
2001,Malta,4,
2001,Netherlands,202,7
2001,Poland,417,5
2001,Portugal,74,31
2001,Romania,91,30
2001,Slovakia,42,10
2001,Slovenia,20,8
2001,Spain,374,105
2001,Sweden,86,166
2001,United Kingdom,787,20
2002,Austria,44,84
2002,Belgium,122,2
2002,Bulgaria,77,4
2002,Croatia,16,12
2002,Cyprus,8,
2002,Czech Republic,177,6
2002,Denmark,83,18
2002,Estonia,17,
2002,Finland,100,40
2002,France,566,128
2002,Germany,1199,108
2002,Greece,135,8
2002,Hungary,67,
2002,Ireland,54,2
2002,Italy,492,98
2002,Latvia,3,5
2002,Lithuania,19,
2002,Luxembourg,5,
2002,Malta,4,
2002,Netherlands,206,9
2002,Poland,412,5
2002,Portugal,87,19
2002,Romania,91,32
2002,Slovakia,41,11
2002,Slovenia,21,7
2002,Spain,432,76
2002,Sweden,85,143
2002,United Kingdom,783,24
2003,Austria,54,70
2003,Belgium,127,2
2003,Bulgaria,81,6
2003,Croatia,18,11
2003,Cyprus,8,
2003,Czech Republic,187,3
2003,Denmark,101,22
2003,Estonia,20,
2003,Finland,127,38
2003,France,582,125
2003,Germany,1256,111
2003,Greece,139,13
2003,Hungary,65,
2003,Ireland,54,2
2003,Italy,516,95
2003,Latvia,3,5
2003,Lithuania,21,
2003,Luxembourg,5,
2003,Malta,4,
2003,Netherlands,208,9
2003,Poland,436,4
2003,Portugal,72,35
2003,Romania,102,27
2003,Slovakia,43,7
2003,Slovenia,21,6
2003,Spain,416,124
2003,Sweden,89,118
2003,United Kingdom,819,23
2004,Austria,53,80
2004,Belgium,128,3
2004,Bulgaria,79,6
2004,Croatia,15,15
2004,Cyprus,8,
2004,Czech Republic,186,5
2004,Denmark,80,26
2004,Estonia,20,
2004,Finland,114,51
2004,France,586,128
2004,Germany,1241,142
2004,Greece,141,13
2004,Hungary,61,2
2004,Ireland,54,3
2004,Italy,527,110
